review_id,title,author,author_url,version,rating,review,vote_count
2543897987,You thought Flappy Bird was hard?,Obaid Ali khan,https://itunes.apple.com/us/reviews/id239899231,1.2,5,This game is Flappy Bird’s difficultly and premise BUT all on the ground. This game will make you try and try again till you get another point. This game might be impossibly difficult but it is so addictive. My highest is 20 (My dad’s is 21 lel 😀) Can you beat it?,0
1614012421,Jumpy Jack Review,MaxCriticInc,https://itunes.apple.com/us/reviews/id410440228,1.1,4,"Provides an entertaining and addicting experience. Although simple, Jumpy Jack is a fun time waster game that functions very well.",0
1409733538,Disgrace,Shayan12Mojarad,https://itunes.apple.com/us/reviews/id511731578,1.1,1,"As a skateboarder myself, I know a whole lot of tricks, as this game shows, a JUMP IS APPARENTLY THE WAY TO GET AIR, A JUMP IS NOT POSSIBLE ON A SKATEBOARD AND INFACT IS A SNOWBOARD TRICK, STUPID REBIT GAMES, LOOK UP OLLIE ON GOOGLE, THAT IS THE JUMP, IN THE RIGHT MOTION.",0
1290720124,THIS IS IMPOSSIBLE,Memelikelike,https://itunes.apple.com/us/reviews/id428219828,1.1,2,This is impossible and that's all I have to say,0
1208612729,Game,Carl696969,https://itunes.apple.com/us/reviews/id211371970,1.1,4,Hard but great game,0
1159895622,I AM THE KING OF JUMPY JACK!!!( PS Really good game ),Dedog123,https://itunes.apple.com/us/reviews/id384243966,1.1,5,"For all those people sayin they got to 30 or 40 thinkin they r the best, I got to 103. As for the game, I have nothing against it",0
1156775808,Great game,King Char B.,https://itunes.apple.com/us/reviews/id363875154,1.1,5,"Very fun, addicting game.",0
1153001384,Annoying,I'm so weird,https://itunes.apple.com/us/reviews/id177480309,1.1,2,I like the game it's just soo annoying. My brother played it and it flinched on him. He wanted to kill the game. So he broke my iPod.,0
1133843524,Great app,Jaymiguel,https://itunes.apple.com/us/reviews/id432874028,1.1,5,It is very good,0
1121434379,So addicting,Geoxboxonegamer,https://itunes.apple.com/us/reviews/id415613704,1.1,5,I just got this app and I'm so addicted although I wish the holes were a bit bigger and it was a little slower but I love the game how it is. It's great and my high score is 31 but on my iPad I got 62,0
1118270630,I got to level 48!!!,Aaaaaawwwwaaaassssooommmeee,https://itunes.apple.com/us/reviews/id112760129,1.1,5,"Jumpy jack is a great game in witch you touch and hold the screen to make you go up. Every 5 levels you get a new piece of clothing, and an level 30 or 35 you get a skateboard. If you don't like challenging or addicting game, this is not a game for you. I got to level 48, and my character now has a full black suit (the suit is like a ninja suit, it covers his head to) a red bandana, and a blue skateboard.",0
1101281748,WORST GAME EVER16383628362,Fuzzy60576,https://itunes.apple.com/us/reviews/id246048837,1.1,1,"I rated this one star but if I could I would've rated this game 0 stars. Here's why. 1) The blocks where he jumps into are TOO small and you have to change that. 2) It's too fast. We can't see if he has to jump high, low, or medium. 3) We have to press down for him to jump high, and that's not fair, why now make it like flappy bird.",0
1077299166,Stupid,iPod touch girl1015567,https://itunes.apple.com/us/reviews/id17604930,1.1,1,Why did they make this game when they already have Flappy Bird AND Splashy Fish? My best on this game is 1 because he goes too fast and he barely ever makes it through the bricks.,0
